city_ascii,country,population
Gamprin,Liechtenstein,
Triesenberg,Liechtenstein,
Schaan,Liechtenstein,
Ruggell,Liechtenstein,
Mauren,Liechtenstein,
Eschen,Liechtenstein,
Triesen,Liechtenstein,
Balzers,Liechtenstein,
Planken,Liechtenstein,
Schellenberg,Liechtenstein,
Capellen,Luxembourg,
Esch-sur-Alzette,Luxembourg,
Remich,Luxembourg,
Echternach,Luxembourg,
Mersch,Luxembourg,
Redange-sur-Attert,Luxembourg,
Vianden,Luxembourg,
Wiltz,Luxembourg,
Clervaux,Luxembourg,
Luxembourg,Luxembourg,107260
Maastricht,Netherlands,122378
Amsterdam,Netherlands,1031000
The Hague,Netherlands,1406000
Haarlem,Netherlands,349957
Groningen,Netherlands,216688
Lelystad,Netherlands,
Arnhem,Netherlands,141674
Assen,Netherlands,62237
's-Hertogenbosch,Netherlands,134520
Zwolle,Netherlands,111805
Utrecht,Netherlands,640000
Leeuwarden,Netherlands,125778
Rotterdam,Netherlands,1005000
Eindhoven,Netherlands,398053
Tromso,Norway,52436
Oslo,Norway,835000
Baerum,Norway,113659
Stavanger,Norway,173132
Hermansverk,Norway,
Kristiansand,Norway,63814
Bergen,Norway,213585
Skien,Norway,73330
Drammen,Norway,90722
Sarpsborg,Norway,
Trondheim,Norway,147139
Christchurch,New Zealand,363200
Porirua,New Zealand,52500
Nelson,New Zealand,60800
Hamilton,New Zealand,148200
Dunedin,New Zealand,117700
Lower Hutt,New Zealand,102400
Palmerston North,New Zealand,82400
Wellington,New Zealand,393400
Rotorua,New Zealand,56200
Tauranga,New Zealand,121500
Whangarei,New Zealand,52200
Auckland,New Zealand,1377200
Waitakere,New Zealand,208100
Manukau,New Zealand,375600
Napier,New Zealand,57800
North Shore,New Zealand,205605
New Plymouth,New Zealand,52500
Drobeta-Turnu Severin,Romania,106578
Braila,Romania,213569
Oradea,Romania,213830
Timisoara,Romania,315053
Resita,Romania,83324
Calarasi,Romania,73224
Arad,Romania,169065
Slobozia,Romania,52693
Baia Mare,Romania,136553
Tulcea,Romania,92475
Ploiesti,Romania,232542
Piatra-Neamt,Romania,102688
Suceava,Romania,105796
Botosani,Romania,114783
Constanta,Romania,303399
Buzau,Romania,130954
Galati,Romania,311156
Vaslui,Romania,69225
Sfintu-Gheorghe,Romania,60677
Bacau,Romania,199668
Focsani,Romania,105112
Bucharest,Romania,1942000
Brasov,Romania,311044
Pitesti,Romania,171021
Tirgu Mures,Romania,149433
Deva,Romania,67802
Cluj-Napoca,Romania,316748
Rimnicu Vilcea,Romania,107558
Sibiu,Romania,155565
Targu Jiu,Romania,97179
Alba Lulia,Romania,66085
Giurgiu,Romania,69067
Zalau,Romania,63232
Craiova,Romania,304142
Hunedoara,Romania,
Targoviste,Romania,88435
Bistrita,Romania,81318
Satu Mare,Romania,112490
Slatina,Romania,78988
Iasi,Romania,325914
Vasteraas,Sweden,107194
Uppsala,Sweden,
Orebro,Sweden,98573
Karlstad,Sweden,74141
Goteborg,Sweden,537797
Halmstad,Sweden,55657
Linkoping,Sweden,96732
Jonkoping,Sweden,89780
Gavle,Sweden,68635
Malmo,Sweden,269349
Vaxjo,Sweden,59600
Stockholm,Sweden,1264000
Uppsala,Sweden,133117
Umea,Sweden,78197
Helsingborg,Sweden,91304
Sundsvall,Sweden,73389
Norrkoping,Sweden,88639
Boras,Sweden,65008
Ljubljana,Slovenia,314807
Recica ob Savinji,Slovenia,
Selnica ob Dravi,Slovenia,
Semic,Slovenia,
Salovci,Slovenia,
Ribnica na Pohorju,Slovenia,
Ribnica,Slovenia,
Rogaska Slatina,Slovenia,
Rogasovci,Slovenia,
Rogatec,Slovenia,
Ruse,Slovenia,
Volcja Draga,Slovenia,
Miklavz na Dravskem Polju,Slovenia,
Miren,Slovenia,
Poljcane,Slovenia,
Prevalje,Slovenia,
Race,Slovenia,
Podlehnik,Slovenia,
Prebold,Slovenia,
Ptuj,Slovenia,
Puconci,Slovenia,
Postojna,Slovenia,
Pivka,Slovenia,
Radece,Slovenia,
Polzela,Slovenia,
Preddvor,Slovenia,
Podvelka,Slovenia,
Podcetrtek,Slovenia,
Ajdovscina,Slovenia,
Bled,Slovenia,
Bistrica ob Sotli,Slovenia,
Benedikt v Slovenskih Goricah,Slovenia,
Beltinci,Slovenia,
Gornji Petrovci,Slovenia,
Grad,Slovenia,
Grosuplje,Slovenia,
Nova Vas,Slovenia,
Spodnja Hajdina,Slovenia,
Bohinjska Bistrica,Slovenia,
Borovnica,Slovenia,
Bovec,Slovenia,
Braslovce,Slovenia,
Brezice,Slovenia,
Brezovica,Slovenia,
Dobrovo,Slovenia,
Cankova,Slovenia,
Celje,Slovenia,
Cerklje na Gorenjskem,Slovenia,
Cerknica,Slovenia,
Cerkno,Slovenia,
Cerkvenjak,Slovenia,
Crensovci,Slovenia,
Crna na Koroskem,Slovenia,
Crnomelj,Slovenia,
Destrnik,Slovenia,
Horjul,Slovenia,
Kranjska Gora,Slovenia,
Krizevci pri Ljutomeru,Slovenia,
Krsko,Slovenia,
Ilirska Bistrica,Slovenia,
Ivancna Gorica,Slovenia,
Izola,Slovenia,
Jesenice,Slovenia,
Koper,Slovenia,
Kostanjevica na Krki,Slovenia,
Kozje,Slovenia,
Kranj,Slovenia,
Lendava,Slovenia,
Litija,Slovenia,
Ljubno,Slovenia,
Ljutomer,Slovenia,
Spodnje Hoce,Slovenia,
Hodos,Slovenia,
Hrastnik,Slovenia,
Kozina,Slovenia,
Idrija,Slovenia,
Ig,Slovenia,
Zgornja Kungota,Slovenia,
Kuzma,Slovenia,
Lasko,Slovenia,
Lenart v Slovenskih Goricah,Slovenia,
Logatec,Slovenia,
Log pri Brezovici,Slovenia,
Stari Trg pri Lozu,Slovenia,
Hrib-Loski Potok,Slovenia,
Zgornje Jezersko,Slovenia,
Jursinci,Slovenia,
Kamnik,Slovenia,
Kanal,Slovenia,
Kidricevo,Slovenia,
Kobarid,Slovenia,
Kobilje,Slovenia,
Kocevje,Slovenia,
Komen,Slovenia,
Sveta Trojica v Slovenskih Goricah,Slovenia,
Pesnica pri Mariboru,Slovenia,
Piran,Slovenia,
Murska Sobota,Slovenia,
Muta,Slovenia,
Moravce,Slovenia,
Novo Mesto,Slovenia,
Odranci,Slovenia,
Oplotnica,Slovenia,
Ormoz,Slovenia,
Moravske-Toplice,Slovenia,
Mozirje,Slovenia,
Mirna,Slovenia,
Mirna Pec,Slovenia,
Mislinja,Slovenia,
Mokronog,Slovenia,
Naklo,Slovenia,
Nova Gorica,Slovenia,
Dol pri Ljubljani,Slovenia,
Dolenjske Toplice,Slovenia,
Domzale,Slovenia,
Dornava,Slovenia,
Dravograd,Slovenia,
Spodnji Duplek,Slovenia,
Gorenja Vas,Slovenia,
Gorisnica,Slovenia,
Gornja Radgona,Slovenia,
Gornji Grad,Slovenia,
Zgornje Gorje,Slovenia,
Divaca,Slovenia,
Dobje pri Planini,Slovenia,
Videm,Slovenia,
Dobrna,Slovenia,
Dobrova,Slovenia,
Dobrovnik,Slovenia,
Radenci,Slovenia,
Radlje ob Dravi,Slovenia,
Radovljica,Slovenia,
Ravne na Koroskem,Slovenia,
Sentjur,Slovenia,
Sentrupert,Slovenia,
Sevnica,Slovenia,
Vitomarci,Slovenia,
Straza,Slovenia,
Sveta Ana v Slovenskih Goricah,Slovenia,
Jurovski Dol,Slovenia,
Sostanj,Slovenia,
Sredisce ob Dravi,Slovenia,
Starse,Slovenia,
Store,Slovenia,
Sveti Jurij ob Scavnici,Slovenia,
Smartno ob Paki,Slovenia,
Smartno pri Litiji,Slovenia,
Sodrazica,Slovenia,
Solcava,Slovenia,
Slovenj Gradec,Slovenia,
Slovenska Bistrica,Slovenia,
Slovenske Konjice,Slovenia,
Smarje pri Jelsah,Slovenia,
Sencur,Slovenia,
Sempeter pri Gorici,Slovenia,
Sentilj,Slovenia,
Sentjernej,Slovenia,
Sezana,Slovenia,
Skocjan,Slovenia,
Skofja Loka,Slovenia,
Skofljica,Slovenia,
Razkrizje,Slovenia,
Markovci,Slovenia,
Medvode,Slovenia,
Menges,Slovenia,
Metlika,Slovenia,
Mezica,Slovenia,
Lovrenc na Pohorju,Slovenia,
Luce,Slovenia,
Lukovica pri Domzalah,Slovenia,
Majsperk,Slovenia,
Makole,Slovenia,
Maribor,Slovenia,114228
Tomaz pri Ormozu,Slovenia,
Videm pri Ptuju,Slovenia,
Tolmin,Slovenia,
Trbovlje,Slovenia,
Trebnje,Slovenia,
Trzic,Slovenia,
Turnisce,Slovenia,
Velenje,Slovenia,
Velike Lasce,Slovenia,
Vipava,Slovenia,
Vitanje,Slovenia,
Vodice,Slovenia,
Vrhnika,Slovenia,
Vuzenica,Slovenia,
Zagorje ob Savi,Slovenia,
Zavrc,Slovenia,
Zelezniki,Slovenia,
Vojnik,Slovenia,
Vransko,Slovenia,
Zalec,Slovenia,
Zetale,Slovenia,
Zirovnica,Slovenia,
